"";"Status";"Credit.history";"Purpose";"Savings.account";"Installment.rate";"Personal.status.and.sex";"Number.of.existing.credits";"Job";"Number.of.people";"foreign.worker";"Class"
"397";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";3;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"398";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";3;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"399";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";1;"male: divorced/separated";2;"skilled employee / official";1;"yes";2
"400";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";">=1000 DM";4;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"401";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"402";"0-200 DM";"critical account/other credits existing (not at this bank)";"business";"unknown/ no savings account";4;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"403";"no checking account";"delay in paying off in the past";"business";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";2
"404";"no checking account";"delay in paying off in the past";"car (new)";"<100 DM";4;"male: single";2;"unskilled - resident";1;"yes";1
"405";"0-200 DM";"delay in paying off in the past";"car (new)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";2;"yes";1
"406";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";1;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"407";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";2;"yes";1
"408";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"skilled employee / official";1;"no";1
"409";"no checking account";"existing credits paid back duly till now";"domestic appliances";"500-1000 DM";3;"male: divorced/separated";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"410";">=200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"500-1000 DM";4;"male: married/widowed";3;"skilled employee / official";1;"yes";2
"411";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"412";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";3;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"413";"no checking account";"critical account/other credits existing (not at this bank)";"business";"<100 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"414";"no checking account";"existing credits paid back duly till now";"car (new)";"500-1000 DM";3;"male: single";1;"unskilled - resident";2;"no";1
"415";"<0 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"416";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"<100 DM";2;"male: single";2;"skilled employee / official";2;"yes";1
"417";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"unskilled - resident";2;"yes";2
"418";"<0 DM";"delay in paying off in the past";"(vacation - does not exist?)";"unknown/ no savings account";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"419";"no checking account";"existing credits paid back duly till now";"car (new)";"500-1000 DM";1;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"420";"0-200 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"421";"no checking account";"existing credits paid back duly till now";"car (new)";">=1000 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"422";"0-200 DM";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"423";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";2;"male: single";2;"unskilled - resident";2;"yes";1
"424";"no checking account";"delay in paying off in the past";"radio/television";"100-500 DM";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"425";"0-200 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"426";"0-200 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";1;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"427";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"428";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";">=1000 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"429";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"male: single";1;"skilled employee / official";1;"yes";1
"430";"<0 DM";"critical account/other credits existing (not at this bank)";"education";"<100 DM";2;"female: divorced/separated/married";3;"unemployed/ unskilled  - non-resident";2;"yes";2
"431";"no checking account";"existing credits paid back duly till now";"business";"<100 DM";1;"male: single";1;"unskilled - resident";1;"yes";1
"432";"0-200 DM";"existing credits paid back duly till now";"furniture/equipment";"<100 DM";2;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"433";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"male: single";3;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"434";"no checking account";"critical account/other credits existing (not at this bank)";"education";"<100 DM";4;"male: divorced/separated";2;"skilled employee / official";1;"yes";1
"435";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"436";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";2;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"437";"no checking account";"existing credits paid back duly till now";"education";"500-1000 DM";2;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"438";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";">=1000 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"439";"<0 DM";"critical account/other credits existing (not at this bank)";"education";"<100 DM";4;"male: single";2;"unemployed/ unskilled  - non-resident";1;"yes";1
"440";">=200 DM";"all credits at this bank paid back duly";"business";"<100 DM";4;"female: divorced/separated/married";1;"unemployed/ unskilled  - non-resident";1;"yes";2
"441";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"442";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"443";"0-200 DM";"delay in paying off in the past";"furniture/equipment";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"444";"no checking account";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"male: single";1;"unskilled - resident";2;"yes";2
"445";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"446";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"unknown/ no savings account";4;"female: divorced/separated/married";2;"unskilled - resident";1;"yes";1
"447";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"448";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"449";">=200 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";3;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"450";"0-200 DM";"delay in paying off in the past";"education";">=1000 DM";3;"male: married/widowed";2;"skilled employee / official";1;"yes";2
"451";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"unknown/ no savings account";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"452";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"453";"no checking account";"no credits taken/all credits paid back duly";"radio/television";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"454";"no checking account";"existing credits paid back duly till now";"car (used)";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"455";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"456";"no checking account";"existing credits paid back duly till now";"car (used)";"<100 DM";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"457";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";2;"male: single";2;"skilled employee / official";2;"yes";1
"458";"<0 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";2
"459";"<0 DM";"existing credits paid back duly till now";"repairs";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"460";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"461";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"male: single";1;"skilled employee / official";2;"yes";1
"462";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"463";"0-200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";3;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"464";"0-200 DM";"existing credits paid back duly till now";"retraining";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"465";"no checking account";"existing credits paid back duly till now";"business";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"466";"<0 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";3;"male: single";1;"skilled employee / official";2;"yes";1
"467";"<0 DM";"delay in paying off in the past";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"468";"no checking account";"delay in paying off in the past";"domestic appliances";"unknown/ no savings account";3;"male: single";2;"skilled employee / official";2;"yes";1
"469";"no checking account";"delay in paying off in the past";"business";"<100 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"470";"no checking account";"delay in paying off in the past";"car (used)";"<100 DM";3;"male: single";2;"unskilled - resident";1;"yes";1
"471";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";3;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"472";"<0 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"473";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"unskilled - resident";1;"yes";2
"474";"no checking account";"existing credits paid back duly till now";"retraining";"unknown/ no savings account";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";2;"yes";1
"475";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"476";"<0 DM";"no credits taken/all credits paid back duly";"radio/television";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"477";"no checking account";"existing credits paid back duly till now";"car (used)";"500-1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"478";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"479";"0-200 DM";"existing credits paid back duly till now";"business";"100-500 DM";3;"male: single";1;"unskilled - resident";1;"yes";1
"480";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"male: single";2;"skilled employee / official";2;"yes";1
"481";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"482";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"483";"<0 DM";"existing credits paid back duly till now";"radio/television";">=1000 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"484";"no checking account";"delay in paying off in the past";"radio/television";">=1000 DM";3;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"485";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"500-1000 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"486";"0-200 DM";"delay in paying off in the past";"car (new)";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"487";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"488";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"489";"no checking account";"existing credits paid back duly till now";"car (new)";"100-500 DM";3;"male: single";1;"unskilled - resident";1;"no";1
"490";"no checking account";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"491";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"492";"0-200 DM";"no credits taken/all credits paid back duly";"business";"<100 DM";2;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"493";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"100-500 DM";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"494";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"495";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";3;"male: single";2;"unskilled - resident";2;"no";1
"496";"<0 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";2;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"497";"0-200 DM";"existing credits paid back duly till now";"radio/television";"100-500 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"498";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"499";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";1
"500";">=200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"100-500 DM";2;"male: divorced/separated";2;"skilled employee / official";2;"yes";1
"501";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"502";"<0 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";2;"male: single";1;"skilled employee / official";2;"yes";1
"503";">=200 DM";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";2;"male: divorced/separated";1;"skilled employee / official";1;"yes";1
"504";"0-200 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"100-500 DM";4;"male: single";2;"skilled employee / official";2;"yes";2
"505";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"506";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"male: single";1;"unskilled - resident";1;"yes";2
"507";">=200 DM";"critical account/other credits existing (not at this bank)";"car (used)";"500-1000 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"508";"0-200 DM";"all credits at this bank paid back duly";"car (new)";"100-500 DM";1;"male: single";1;"management/ self-employed/highly qualified employee/ officer";2;"yes";2
"509";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"510";"no checking account";"existing credits paid back duly till now";"car (used)";"100-500 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"511";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"skilled employee / official";1;"yes";2
"512";"no checking account";"existing credits paid back duly till now";"car (used)";"<100 DM";2;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"513";">=200 DM";"existing credits paid back duly till now";"business";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"514";"0-200 DM";"delay in paying off in the past";"domestic appliances";"<100 DM";4;"male: married/widowed";2;"skilled employee / official";1;"yes";1
"515";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";1
"516";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"female: divorced/separated/married";2;"skilled employee / official";1;"no";1
"517";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";2;"male: single";1;"unskilled - resident";2;"no";1
"518";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"519";"<0 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"520";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"521";"no checking account";"critical account/other credits existing (not at this bank)";"education";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";1
"522";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"523";"<0 DM";"no credits taken/all credits paid back duly";"radio/television";"<100 DM";3;"male: single";2;"skilled employee / official";2;"yes";2
"524";"no checking account";"existing credits paid back duly till now";"car (used)";"100-500 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"525";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"unskilled - resident";2;"yes";1
"526";"0-200 DM";"existing credits paid back duly till now";"car (used)";"<100 DM";2;"male: single";2;"skilled employee / official";1;"yes";1
"527";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"100-500 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"528";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";2;"male: single";2;"unskilled - resident";2;"yes";1
"529";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: divorced/separated";1;"skilled employee / official";1;"yes";2
"530";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"male: single";1;"unskilled - resident";2;"yes";1
"531";"0-200 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";3;"male: single";2;"skilled employee / official";2;"yes";1
"532";"0-200 DM";"existing credits paid back duly till now";"car (new)";"100-500 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"533";"no checking account";"delay in paying off in the past";"car (used)";"<100 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"534";"no checking account";"existing credits paid back duly till now";"domestic appliances";"100-500 DM";4;"male: married/widowed";1;"skilled employee / official";1;"yes";1
"535";"no checking account";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";1;"yes";1
"536";">=200 DM";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"<100 DM";2;"male: divorced/separated";1;"skilled employee / official";1;"yes";2
"537";"<0 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"538";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"539";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"540";">=200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"541";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";1;"male: married/widowed";1;"skilled employee / official";1;"yes";2
"542";"no checking account";"delay in paying off in the past";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";1;"yes";1
"543";"<0 DM";"existing credits paid back duly till now";"radio/television";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";1;"yes";2
"544";">=200 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";2;"male: single";1;"unskilled - resident";2;"yes";2
"545";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: single";2;"unskilled - resident";1;"yes";1
"546";"<0 DM";"delay in paying off in the past";"car (new)";"<100 DM";4;"male: single";2;"skilled employee / official";2;"yes";2
"547";"no checking account";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"548";"no checking account";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"male: single";1;"skilled employee / official";2;"yes";1
"549";"<0 DM";"all credits at this bank paid back duly";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"550";"no checking account";"critical account/other credits existing (not at this bank)";"car (used)";"unknown/ no savings account";2;"male: single";2;"skilled employee / official";1;"yes";1
"551";"no checking account";"critical account/other credits existing (not at this bank)";"education";"unknown/ no savings account";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"552";"no checking account";"all credits at this bank paid back duly";"domestic appliances";"500-1000 DM";2;"male: single";1;"unskilled - resident";2;"yes";1
"553";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";1;"male: married/widowed";2;"skilled employee / official";1;"yes";2
"554";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"100-500 DM";4;"male: single";1;"skilled employee / official";1;"yes";1
"555";"0-200 DM";"existing credits paid back duly till now";"(vacation - does not exist?)";"<100 DM";4;"female: divorced/separated/married";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"556";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"male: single";1;"skilled employee / official";1;"yes";2
"557";"0-200 DM";"no credits taken/all credits paid back duly";"car (new)";"100-500 DM";3;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"558";"no checking account";"no credits taken/all credits paid back duly";"car (new)";"unknown/ no savings account";1;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";2
"559";"<0 DM";"all credits at this bank paid back duly";"radio/television";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";2
"560";"0-200 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"male: single";2;"unskilled - resident";1;"yes";2
"561";"<0 DM";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";4;"male: single";1;"skilled employee / official";2;"yes";1
"562";"<0 DM";"all credits at this bank paid back duly";"domestic appliances";"<100 DM";4;"male: single";1;"unskilled - resident";1;"yes";2
"563";">=200 DM";"delay in paying off in the past";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"564";"0-200 DM";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";1;"male: single";1;"skilled employee / official";1;"yes";2
"565";"0-200 DM";"delay in paying off in the past";"business";"unknown/ no savings account";4;"male: single";2;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"566";"0-200 DM";"delay in paying off in the past";"domestic appliances";"100-500 DM";3;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"567";"<0 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";2;"male: divorced/separated";1;"skilled employee / official";1;"yes";2
"568";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";">=1000 DM";2;"male: single";1;"skilled employee / official";1;"yes";1
"569";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"unknown/ no savings account";4;"male: single";2;"skilled employee / official";2;"yes";1
"570";"<0 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";3;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"571";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"572";"no checking account";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";3;"male: single";1;"skilled employee / official";1;"yes";1
"573";"no checking account";"existing credits paid back duly till now";"car (used)";"unknown/ no savings account";2;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"574";"<0 DM";"existing credits paid back duly till now";"business";"<100 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"575";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";4;"male: single";2;"unskilled - resident";1;"yes";1
"576";"no checking account";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";2;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"577";"0-200 DM";"existing credits paid back duly till now";"domestic appliances";"<100 DM";2;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"578";"no checking account";"critical account/other credits existing (not at this bank)";"(vacation - does not exist?)";"unknown/ no savings account";3;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"579";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";4;"male: divorced/separated";2;"skilled employee / official";1;"yes";2
"580";"no checking account";"existing credits paid back duly till now";"retraining";"<100 DM";4;"male: married/widowed";2;"unskilled - resident";1;"yes";1
"581";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";2
"582";"0-200 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";1;"male: single";2;"unskilled - resident";2;"yes";1
"583";"no checking account";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";1
"584";"0-200 DM";"existing credits paid back duly till now";"education";"<100 DM";4;"male: single";1;"unskilled - resident";1;"yes";2
"585";"no checking account";"existing credits paid back duly till now";"car (new)";"unknown/ no savings account";4;"female: divorced/separated/married";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";1
"586";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";1;"female: divorced/separated/married";1;"skilled employee / official";1;"yes";2
"587";"<0 DM";"critical account/other credits existing (not at this bank)";"car (new)";"<100 DM";2;"male: single";2;"skilled employee / official";2;"yes";1
"588";"<0 DM";"existing credits paid back duly till now";"radio/television";"<100 DM";4;"male: single";1;"unskilled - resident";1;"yes";1
"589";"<0 DM";"existing credits paid back duly till now";"repairs";"<100 DM";4;"male: married/widowed";1;"unskilled - resident";1;"yes";2
"590";"<0 DM";"critical account/other credits existing (not at this bank)";"radio/television";"<100 DM";3;"male: single";2;"skilled employee / official";1;"yes";2
"591";"<0 DM";"critical account/other credits existing (not at this bank)";"domestic appliances";"<100 DM";4;"female: divorced/separated/married";4;"unskilled - resident";1;"yes";1
"592";"0-200 DM";"delay in paying off in the past";"car (new)";"unknown/ no savings account";4;"female: divorced/separated/married";2;"skilled employee / official";1;"yes";1
"593";"no checking account";"existing credits paid back duly till now";"business";">=1000 DM";4;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";1
"594";"0-200 DM";"existing credits paid back duly till now";"car (new)";"<100 DM";3;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
"595";"<0 DM";"all credits at this bank paid back duly";"furniture/equipment";"unknown/ no savings account";4;"male: single";1;"management/ self-employed/highly qualified employee/ officer";1;"yes";2
"596";"0-200 DM";"all credits at this bank paid back duly";"car (new)";"100-500 DM";1;"female: divorced/separated/married";1;"unskilled - resident";1;"yes";2
